,id,addr,timestamp,Area_of_interest,Communities_of_interest,Destinations,Corridor_preference,Pittsburgh_areas,Allegheny_County_areas,PAAC_Routes_Used,Routing_Type_Preference,Current_Transit_Usage,Other_Transport_Used,Why_Other_Transport_Used,Age,Employment_status,Where_From,Gender,Race,Comments,from_NameGIS,from_LABEL,from_COG,from_FIPS,from_MUNICODE,from_OBJECTID
10,2ed02309-0384-4557-b409-cce20b47c4ec,75.151.253.249,2019-07-09T12:59:56,Monroeville and Eastern Suburbs,Forest Hills Borough,Centurion Commons,Mon Valley via Forest Hills,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh),South Hills,,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",Several times a week,Bicycle| Private car,Public transit is not available where I am travelling to/from,45-54 years old,Part-time employment,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
11,6b12a092-b083-43fd-9537-81945cf03acc,73.79.5.123,2019-07-04T16:28:18,Monroeville and Eastern Suburbs,Braddock Borough| Edgewood Borough| North Braddock Borough| Swissvale Borough,Airbrake Ave. Playground| Community Forge| Kuhns| Turtle Creek Satellite| Wilkinsburg Public Library,Monroeville via Forest Hills,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh),,68 - Braddock Hills| 69 - Trafford| P1 - East Busway - All Stops,,No more than once a week,Private car,Too slow,25-34 years old,Full-time employment,Forest Hills Borough,Woman,Black or African American,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
12,bd497d1c-8868-4b8b-9c1e-098554b7a281,72.95.215.71,2019-08-20T17:43:14,Monroeville and Eastern Suburbs,Forest Hills Borough,Ardmore Shopping Center| Braddock Hills Shopping Center| Edgewood Towne Center| Monroeville Mall,Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| Oakland (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh)| The Strip (Pittsburgh),North Hills / Parkway North,61B - Braddock - Swissvale,3,"Rarely, maybe a couple times a year",Uber/Lyft| Walking,Too slow,55-64 years old,Full-time employment,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
13,0412acda-72c5-49fe-a255-1eb58b1998ef,174.229.4.149,2019-07-04T15:22:47,Monroeville and Eastern Suburbs,Edgewood Borough| Forest Hills Borough| Monroeville| Swissvale Borough,Aldi| Braddock Carnegie Library| Miracle Mile| Monroeville Mall| Monroeville Public Library,Monroeville via Forest Hills,Oakland (Pittsburgh)| South Side and Station Square (Pittsburgh)| The Strip (Pittsburgh),Airport Corridor / Parkway West,,,Never,Private car,Too slow| I usually need to carry too many things,25-34 years old,Self-Employed,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
14,ea811424-7850-4246-8202-bd8e48e17be8,174.229.4.149,2019-07-04T14:18:17,Monroeville and Eastern Suburbs,Forest Hills Borough| Monroeville| Wilkins Township| Wilkinsburg Borough,C C Mellor Memorial Library| Carnegie Free Library of Swissvale| Centurion Commons| Koch Park,Monroeville via Forest Hills,Highland Park and surrounding neighborhoods (Pittsburgh)| Lawrenceville (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh)| The Strip (Pittsburgh),Airport Corridor / Parkway West| East Hills,74 - Homewood - Squirrel Hill| 93 - Lawrenceville - Oakland - Hazelwood,3,Never,Private car,Transit doesnt come often enough| I usually need to carry too many things,55-64 years old,Self-Employed,Forest Hills Borough,Man,White,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
15,24527339-754a-4314-9e7f-eac49b3202c3,173.136.2.46,2019-07-04T15:13:50,Monroeville and Eastern Suburbs,Forest Hills Borough,"Oakland, Oakland, Pennsylvania 15213, United States| Downtown, Pittsburgh, Pennsylvania 15222, United States| Duquesne University - Assumption Hall, 1345 Vickroy St, Pittsburgh, Pennsylvania 15213, United States",Monroeville via Forest Hills,Downtown (Pittsburgh)| Oakland (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh)| The Strip (Pittsburgh),Airport Corridor / Parkway West,61A - Swissvale| 61B - Braddock - Swissvale,6,Daily commute,Private car,Public transit is not available where I am travelling to/from| Too slow,35-44 years old,Part-time employment,Forest Hills Borough,Man,White,more buses more walks.,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
16,a15a6778-7be1-415e-b837-4ff88a45fa7c,74.98.210.210,2019-07-29T20:05:50,Monroeville and Eastern Suburbs,Forest Hills Borough| Turtle Creek Borough| Wilkinsburg Borough,"Hosanna House, 807 Wallace Ave, Pittsburgh, Pennsylvania 15221, United States",Monroeville via Forest Hills,Downtown (Pittsburgh)| North Side and North Shore (Pittsburgh),,16 - Brighton| 69 - Trafford| P1 - East Busway - All Stops| P69 - Trafford Flyer,6,No more than once a week,Bicycle| Private car,Other,12-17 years old,Student,Forest Hills Borough,Man,"Hispanic, Latino, or Spanish",,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
17,e01c3219-79a9-4d10-bddc-2fbaf5b6f4bc,172.58.46.216,2019-08-17T15:52:52,Monroeville and Eastern Suburbs,Braddock Hills Borough| Churchill Borough| Edgewood Borough| Monroeville| Wilkins Township,"Miracle Mile Shopping Center, 4100 William Penn Hwy, Monroeville, Pennsylvania 15146, United States| Monroeville Mall, 200 Monroeville Mall, Monroeville, Pennsylvania 15146, United States| Forbes Hospital, 2570 Haymaker Rd, Monroeville, Pennsylvania 15146, United States",Monroeville via Braddock & Turtle Creek,East End neighborhoods (Pittsburgh),,P1 - East Busway - All Stops,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",Never,Private car,Public transit is not available where I am travelling to/from| Too slow,35-44 years old,Full-time employment,Forest Hills Borough,Woman,Black or African American,,FOREST HILLS,Forest Hills Borough,Turtle Creek Valley,26592,828,36708
18,da2837dc-2047-4d7d-9bb0-82547feee7b4,174.242.35.95,2019-07-30T23:06:44,McKeesport and the Mon Valley,Braddock Borough| Braddock Hills Borough| Chalfant Borough| Duquesne| East McKeesport Borough| East Pittsburgh Borough| Forest Hills Borough| Homestead Borough| McKeesport| Munhall Borough| North Braddock Borough| North Versailles Township| Rankin Borough| Swissvale Borough| Turtle Creek Borough| Wall Borough| West Homestead Borough| Whitaker Borough| Wilmerding Borough,,Mon Valley via Forest Hills,Downtown (Pittsburgh),Airport Corridor / Parkway West,,,Multiple trips per day,Jitney,Public transit is not available where I am travelling to/from,35-44 years old,Retired,Rankin Borough,Man,White,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
19,b7d17f59-f521-4b2e-ab4a-508d93d7c26f,96.236.155.140,2019-07-29T23:30:54,McKeesport and the Mon Valley,Rankin Borough| Swissvale Borough,Edgewood Towne Center| Forest Hills Medical Associates UPMC| HOMESTEAD UPMC COMMUNITY LIFE CENTER| The Waterfront| University of Pittsburgh Physicians,Monroeville via Forest Hills,Downtown (Pittsburgh)| Oakland (Pittsburgh),,61B - Braddock - Swissvale| P1 - East Busway - All Stops,2,Daily commute,Private car,Other,55-64 years old,Full-time employment,Rankin Borough,Woman,Black or African American,"Riding the bus after working hours is not reliable, takes too longs to long.",RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
20,a2574c50-7c23-4982-85a6-65af073f39db,174.242.36.170,2019-08-03T17:52:42,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Braddock Borough| Braddock Hills Borough| Chalfant Borough| Churchill Borough| Duquesne| East McKeesport Borough| East Pittsburgh Borough| Edgewood Borough| Forest Hills Borough| Homestead Borough| McKeesport| Monroeville| Munhall Borough| North Braddock Borough| North Versailles Township| Pitcairn Borough| Rankin Borough| Swissvale Borough| Turtle Creek Borough| Wall Borough| West Homestead Borough| Whitaker Borough| Wilkins Township| Wilkinsburg Borough| Wilmerding Borough,"Giant Eagle, 1705 S Braddock Ave, Pittsburgh, Pennsylvania 15218, United States| Costco Wholesale, 501 W Waterfront Dr, Homestead, Pennsylvania 15120, United States| UPMC Shadyside Emergency Department, 5230 Centre Ave, Shadyside, Pennsylvania 15232, United States",Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh)| Highland Park and surrounding neighborhoods (Pittsburgh)| Hill (Pittsburgh)| Lawrenceville (Pittsburgh)| Mon Valley neighborhoods (Pittsburgh)| Mount Washington and Mount Oliver (Pittsburgh)| North Side and North Shore (Pittsburgh)| North Side neighborhoods (Pittsburgh)| Oakland (Pittsburgh)| Penn and Liberty Ave neighborhoods (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh)| South Hills neighborhoods (Pittsburgh)| South Side and Station Square (Pittsburgh)| The Strip (Pittsburgh)| West End neighborhoods (Pittsburgh),,,6,Never,Private car,The stops/stations are hard to get to because of bad or no sidewalks| Too slow| Transit isnt reliable to get me where Im going on time,75 years or older,Retired,Rankin Borough,Man,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
21,2a436937-5946-49fd-a0da-4db33d0ba745,73.40.202.237,2019-07-02T16:22:11,McKeesport and the Mon Valley,Braddock Borough| Braddock Hills Borough| Duquesne| Homestead Borough| Munhall Borough| North Braddock Borough| Rankin Borough| Swissvale Borough,"24 Hawkins Village, Braddock, Pennsylvania 15104, United States",Mon Valley via East Busway (P7 Corridor) ,Downtown (Pittsburgh)| Highland Park and surrounding neighborhoods (Pittsburgh)| Mount Washington and Mount Oliver (Pittsburgh),East Hills| Northeast Allegheny County| Upper Mon Valley,59 - Mon Valley| 61B - Braddock - Swissvale| P1 - East Busway - All Stops| P3 - East Busway - Oakland| P7 - McKeesport Flyer,,Several times a week,Carpool,No transit service at the times I need it,18-24 years old,Full-time employment,Rankin Borough,Man,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
22,10fadf3b-1f98-47a2-a40a-a51e1bc8dbe9,174.242.35.95,2019-07-30T22:58:07,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Braddock Borough| Churchill Borough| Edgewood Borough| Forest Hills Borough| Homestead Borough| McKeesport| Monroeville| Munhall Borough| Rankin Borough| Swissvale Borough| West Homestead Borough| Wilkins Township| Wilkinsburg Borough,Braddock Carnegie Library| Carnegie Library of Homestead| Frick Park| Homestead Apartments B ,Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| East End neighborhoods (Pittsburgh)| Oakland (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),Airport Corridor / Parkway West,61B - Braddock - Swissvale| P1 - East Busway - All Stops,2,No more than once a week,Bicycle| Carpool| Private car| Walking,No transit service at the times I need it,25-34 years old,Full-time employment,Rankin Borough,Man,Other,East busway should be a train\nAlso need a train to the airport \n,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
23,36a94954-6af0-4ca5-b546-07251663635d,174.229.7.65,2019-08-10T16:48:01,Monroeville and Eastern Suburbs,Braddock Borough| Edgewood Borough| North Braddock Borough| Rankin Borough| Swissvale Borough| Turtle Creek Borough,"First Baptist Church of Braddock Hills| UPMC Corporate Office, 600 Grant St, Pittsburgh, Pennsylvania 15219, United States| Oakland, Oakland, Pennsylvania 15213, United States| Shop N Save Gas, Pittsburgh, Pennsylvania 15235, United States",Monroeville via 376 (P67 Corridor),Downtown (Pittsburgh)| North Side neighborhoods (Pittsburgh)| Oakland (Pittsburgh),Airport Corridor / Parkway West,61A - Swissvale| 61B - Braddock - Swissvale| P1 - East Busway - All Stops,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",No more than once a week,Private car,Other,75 years or older,Retired,Rankin Borough,Woman,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
24,4dd94007-1328-4fec-ac5a-ca802eef292d,172.58.201.224,2019-08-10T17:13:33,Monroeville and Eastern Suburbs,Edgewood Borough| Forest Hills Borough| Rankin Borough| Swissvale Borough| Wilkinsburg Borough,"Shadyside, Shadyside, Pennsylvania 15232, United States| Wilkins School Community Center, 7604 Charleston Ave, Pittsburgh, Pennsylvania 15218, United States",Mon Valley via East Busway (P7 Corridor) ,East End neighborhoods (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),East Hills,P1 - East Busway - All Stops| P3 - East Busway - Oakland| P7 - McKeesport Flyer,3,Multiple trips per day,Private car,Public transit is not available where I am travelling to/from,45-54 years old,Full-time employment,Rankin Borough,Woman,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
25,b2ab16d8-fc53-418a-b7f5-000ead5c60ba,174.242.36.170,2019-08-03T18:15:38,McKeesport and the Mon Valley,Braddock Borough| Braddock Hills Borough| East Pittsburgh Borough| Forest Hills Borough| McKeesport| North Braddock Borough| North Versailles Township| Rankin Borough| Swissvale Borough,Braddock Hills Shopping Center| Keystone Commons| The Waterfront,Mon Valley via Forest Hills,Downtown (Pittsburgh),Airport Corridor / Parkway West,P1 - East Busway - All Stops,,Several times a week,Jitney| Private car,Too slow,35-44 years old,Full-time employment,Rankin Borough,Woman,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
26,5cb817a8-56de-4019-9270-f1f551e20782,174.242.35.95,2019-07-30T22:38:02,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Braddock Borough| Duquesne| Edgewood Borough| Homestead Borough| Monroeville| North Versailles Township| Rankin Borough| Swissvale Borough| Wilkinsburg Borough,"Carnegie Free Library of Swissvale| Giant Eagle| Rankin Christian Center| UPMC Keystone Primary Care Drs Ou and Tong| Mount Olive Baptist Church Of Rankin, 330 4th Ave, Braddock, Pennsylvania 15104, United States",Mon Valley via Homestead (61C Corridor),East End neighborhoods (Pittsburgh)| Highland Park and surrounding neighborhoods (Pittsburgh)| Mon Valley neighborhoods (Pittsburgh)| North Side neighborhoods (Pittsburgh)| Penn and Liberty Ave neighborhoods (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),Airport Corridor / Parkway West| Upper Mon Valley,59 - Mon Valley| 61B - Braddock - Swissvale| P68 - Braddock Hills Flyer,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",Daily commute,Private car,Other,75 years or older,Retired,Rankin Borough,Man,Black or African American,"Please keep the service going\nA lot of people need public transportation\nEven though Im retired, other still need it\nAnd I might need it one day.",RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
27,7f620252-7da4-4a9c-8e2c-5f62dded29c2,172.58.46.235,2019-08-15T23:26:04,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Braddock Hills Borough| Edgewood Borough| Homestead Borough| Monroeville| Munhall Borough| North Versailles Township| Swissvale Borough| West Homestead Borough| Wilkinsburg Borough,Calvary African Methodist Episcopal Church| Homestead Apartments C | New Covenant Christian Fellowship Church| Payne Chapel African Methodist Episcopal Church| RIDC Riverplace / City Center of Duquesne,Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| Highland Park and surrounding neighborhoods (Pittsburgh)| Hill (Pittsburgh)| Penn and Liberty Ave neighborhoods (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh)| The Strip (Pittsburgh),Airport Corridor / Parkway West,,,Never,Private car| Uber/Lyft,Other,65-74 years old,Retired,Rankin Borough,Woman,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
28,c914e9ea-9eee-4695-a312-f4870d1e980f,172.58.43.151,2019-08-06T23:51:04,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Braddock Borough| Braddock Hills Borough| Forest Hills Borough| Homestead Borough| Monroeville| Munhall Borough| Turtle Creek Borough| Whitaker Borough| Wilkinsburg Borough,General Braddock Tower | Unity Baptist Church,Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| Oakland (Pittsburgh),Airport Corridor / Parkway West,61B - Braddock - Swissvale,2,No more than once a week,Private car,Other,55-64 years old,Part-time employment,Rankin Borough,Woman,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
29,dffff66c-915d-4036-9d89-d933bcb32a34,172.58.43.38,2019-08-05T00:04:58,McKeesport and the Mon Valley| Monroeville and Eastern Suburbs,Braddock Borough| Braddock Hills Borough| East Pittsburgh Borough| Forest Hills Borough| Homestead Borough| Munhall Borough| North Braddock Borough| Rankin Borough| Swissvale Borough| Wilkinsburg Borough,"ALDI| Braddock Hills Shopping Center| Edgewood Towne Center| Shop n Save, 3335 William Penn Hwy, Pittsburgh, Pennsylvania 15235, United States",Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| North Side and North Shore (Pittsburgh)| Oakland (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),Airport Corridor / Parkway West,28X - Airport Flyer| 59 - Mon Valley| 61B - Braddock - Swissvale| 67 - Monroeville| 68 - Braddock Hills| P1 - East Busway - All Stops| P3 - East Busway - Oakland| P7 - McKeesport Flyer,5,"Rarely, maybe a couple times a year",Private car,Transit doesnt come often enough,55-64 years old,Full-time employment,Rankin Borough,Woman,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
30,c54c3e33-9e64-4bf8-ab21-e9474741c7dd,172.58.46.216,2019-08-17T15:52:34,Monroeville and Eastern Suburbs,Braddock Borough| Edgewood Borough| Forest Hills Borough| Monroeville| Swissvale Borough| Turtle Creek Borough| Wilkinsburg Borough,"UPMC East| Monroeville Mall, 200 Monroeville Mall, Monroeville, Pennsylvania 15146, United States| Miracle Mile Shopping Center, 4100 William Penn Hwy, Monroeville, Pennsylvania 15146, United States| Edgewood Towne Center, 1749 S Braddock Ave, Pittsburgh, Pennsylvania 15218, United States| Frick Park, 2005 Beechwood Blvd, Pittsburgh, Pennsylvania 15217, United States",Monroeville via Braddock & Turtle Creek,Downtown (Pittsburgh)| Highland Park and surrounding neighborhoods (Pittsburgh)| Lawrenceville (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh)| South Side and Station Square (Pittsburgh),Airport Corridor / Parkway West,61A - Swissvale| P1 - East Busway - All Stops| P2 - East Busway Short| P67 - Monroeville Flyer,"1-Faster and more direct buses, but with more transfers and wider bus stop spacing.",Multiple trips per day,Private car| Uber/Lyft| Walking,Too slow| Transit isnt reliable to get me where Im going on time| Other,25-34 years old,Full-time employment,Rankin Borough,Woman,Black or African American,More park and ride opportunities. ,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
31,b7f7a68c-1c1d-4cab-97c8-19de2d1b6e7b,172.58.43.151,2019-08-07T00:08:03,McKeesport and the Mon Valley,Forest Hills Borough| Munhall Borough| Rankin Borough| Swissvale Borough,Ardmore Shopping Center| Braddock Hills Shopping Center| Edgewood Towne Center| General Braddock Tower | Hawkins Village ,Mon Valley via East Busway (P7 Corridor) ,Downtown (Pittsburgh)| Oakland (Pittsburgh)| Shadyside and Squirrel Hill (Pittsburgh),,61B - Braddock - Swissvale| P3 - East Busway - Oakland,2,Daily commute,Jitney,Transit doesnt come often enough,55-64 years old,Part-time employment,Rankin Borough,Man,Black or African American,,RANKIN,Rankin Borough,Turtle Creek Valley,63408,849,66
