,index,dist_origin,Pittsburgh Chateau Area,Pittsburgh Lower North Side,Pittsburgh Upper North Side,Allegheny County Northwest,Allegheny County North (remainder),Hazelwood,Squirrel Hill,Oakland,South Side,Shadyside,Waterfront (West Homestead Homestead Munhall(part)),Downtown,East Liberty,Strip District,Pittsburgh East (remainder),Hays Lincoln Place,Verona Oakmont Penn Hills,Plum Borough,Monroeville Pitcairn Turtle Creek,Wilkinsburg Wilkins Braddock and vicinity,Wilmerding Wall North Versailles,McKeesport White Oak,Lincoln Liberty Port Vue,Elizabeth Forward South Versailles,Munhall Whitaker Duquesne,Baldwin Brentwood Whitehall West Mifflin,Allegheny County Southeast (remainder),Allegheny County West,Armstrong County East,Armstrong County West,Beaver County South,Beaver County North,Butler County,Fayette County,Greene County,Indiana County,Lawrence County,Washington County,Westmoreland County,Midtown/Uptown,Highland Park,Homewood/Lincoln-Lemington,Pittsburgh Southwest (remainder),Allegheny County Southcentral
24,25,Munhall Whitaker Duquesne,11,15.0,3.0,2.0,11.0,93.0,119.0,874.0,35.0,32.0,280.0,1562.0,30.0,31.0,49.0,12.0,17.0,2.0,65.0,125.0,27.0,73.0,6.0,3.0,182.0,107.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,113.0,6.0,37.0,37.0,26.0
25,26,Baldwin Brentwood Whitehall West Mifflin,21,26.0,3.0,5.0,12.0,69.0,22.0,778.0,69.0,19.0,22.0,3643.0,18.0,56.0,42.0,3.0,2.0,0.0,7.0,12.0,2.0,7.0,2.0,2.0,15.0,383.0,30.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,200.0,3.0,13.0,235.0,207.0
26,27,Allegheny County Southeast (remainder),0,0.0,0.0,0.0,0.0,16.0,5.0,11.0,9.0,1.0,8.0,171.0,1.0,0.0,1.0,2.0,2.0,0.0,10.0,9.0,6.0,18.0,18.0,16.0,19.0,147.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,13.0,0.0,3.0,11.0,24.0
27,28,Allegheny County West,83,67.0,24.0,122.0,72.0,22.0,20.0,566.0,36.0,17.0,3.0,4614.0,15.0,76.0,49.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1324.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,175.0,3.0,10.0,282.0,314.0
28,29,Armstrong County East,0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,30,Armstrong County West,0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,31,Beaver County South,1,0.0,0.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,265.0,148.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
31,32,Beaver County North,7,4.0,1.0,313.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,297.0,950.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0
32,33,Butler County,0,0.0,0.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,34,Fayette County,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,35,Greene County,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,36,Indiana County,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,37,Lawrence County,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,38,Washington County,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,4.0,84.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,4.0,3.0,8.0,1.0,16.0,9.0,57.0,65.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.0,143.0,1.0,0.0,0.0,12.0,182.0
38,39,Westmoreland County,0,2.0,0.0,0.0,386.0,2.0,7.0,37.0,1.0,6.0,4.0,84.0,10.0,4.0,19.0,0.0,38.0,10.0,144.0,35.0,32.0,8.0,0.0,0.0,6.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,205.0,2670.0,4.0,2.0,22.0,1.0,4.0
39,40,Midtown/Uptown,36,65.0,15.0,13.0,69.0,57.0,101.0,1394.0,125.0,98.0,14.0,2952.0,56.0,123.0,145.0,0.0,7.0,0.0,8.0,35.0,3.0,1.0,0.0,0.0,4.0,15.0,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,217.0,14.0,37.0,98.0,74.0
40,41,Highland Park,7,18.0,2.0,2.0,103.0,11.0,76.0,1312.0,15.0,245.0,4.0,1638.0,392.0,94.0,389.0,0.0,10.0,0.0,4.0,21.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,46.0,121.0,15.0,9.0
41,42,Homewood/Lincoln-Lemington,13,26.0,5.0,4.0,115.0,34.0,234.0,1981.0,34.0,255.0,16.0,1817.0,304.0,111.0,393.0,0.0,83.0,2.0,44.0,170.0,7.0,1.0,0.0,0.0,6.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,180.0,64.0,277.0,28.0,17.0
42,43,Pittsburgh Southwest (remainder),166,187.0,37.0,54.0,126.0,128.0,80.0,2423.0,434.0,65.0,30.0,12646.0,53.0,278.0,197.0,3.0,8.0,0.0,8.0,34.0,1.0,3.0,0.0,0.0,9.0,211.0,7.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,774.0,11.0,40.0,1067.0,844.0
43,44,Allegheny County Southcentral,64,77.0,11.0,22.0,43.0,54.0,36.0,1422.0,65.0,36.0,6.0,9667.0,28.0,139.0,85.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,3.0,87.0,9.0,796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,341.0,7.0,20.0,445.0,1895.0
